[0.0, 'Tempo', 106.0]
[0.0, 'Formula de Compasso', '2/4']
[18.0, 'Rest', 'Parte_5', 2.0, 0, None]
[18.25, 'Note', 'Parte_3', 0.25, 51, None]
[18.5, 'Rest', 'Parte_1', 0.5, 0, None]
[18.5, 'Note', 'Parte_3', 0.25, 50, None]
[18.75, 'Note', 'Parte_3', 0.25, 51, None]
[19.0, 'Chord', 'Parte_1', 0.5, [73, 85], None]
[19.0, 'Note', 'Parte_3', 0.25, 55, None]
[19.25, 'Note', 'Parte_3', 0.25, 51, None]
[19.5, 'Chord', 'Parte_1', 0.5, [72, 84], None]
[19.5, 'Note', 'Parte_3', 0.25, 56, None]
[19.75, 'Note', 'Parte_3', 0.25, 51, None]
[20.0, 'Chord', 'Parte_1', 0.5, [70, 82], None]
[20.0, 'Rest', 'Parte_2', 2.0, 0, None]
[20.0, 'Note', 'Parte_3', 0.25, 58, None]
[20.0, 'Rest', 'Parte_4', 2.0, 0, None]
[20.0, 'Rest', 'Parte_5', 2.0, 0, None]
[20.25, 'Note', 'Parte_3', 0.25, 51, None]
[20.5, 'Chord', 'Parte_1', 0.5, [68, 80], None]
[20.5, 'Note', 'Parte_3', 0.25, 60, None]
[20.75, 'Note', 'Parte_3', 0.25, 51, None]
[21.0, 'Chord', 'Parte_1', 0.5, [67, 79], None]
[21.0, 'Note', 'Parte_3', 0.25, 61, None]
[21.25, 'Note', 'Parte_3', 0.25, 51, None]
[21.5, 'Chord', 'Parte_1', 0.5, [65, 77], None]
[21.5, 'Note', 'Parte_3', 0.25, 62, None]
[21.75, 'Note', 'Parte_3', 0.25, 51, None]
[22.0, 'Note', 'Parte_1', 0.5, 75, None]
[22.0, 'Rest', 'Parte_2', 2.0, 0, None]
[22.0, 'Note', 'Parte_3', 0.25, 63, None]
[22.0, 'Rest', 'Parte_4', 2.0, 0, None]
[22.0, 'Rest', 'Parte_5', 2.0, 0, None]
[22.25, 'Note', 'Parte_3', 0.25, 51, None]
[22.5, 'Chord', 'Parte_1', 0.5, [68, 72, 75], None]
[22.5, 'Note', 'Parte_3', 0.25, 63, None]
[22.75, 'Note', 'Parte_3', 0.25, 51, None]
[23.0, 'Chord', 'Parte_1', 0.5, [70, 73, 75], None]
[23.0, 'Note', 'Parte_3', 0.25, 63, None]
[23.25, 'Note', 'Parte_3', 0.25, 51, None]
[23.5, 'Chord', 'Parte_1', 0.5, [67, 70, 75], None]
[23.5, 'Note', 'Parte_3', 0.25, 63, None]
[23.75, 'Note', 'Parte_3', 0.25, 51, None]
[24.0, 'Chord', 'Parte_1', 0.5, [68, 72, 75], None]
[24.0, 'Rest', 'Parte_2', 2.0, 0, None]
[24.0, 'Note', 'Parte_3', 0.5, 56, None]
[24.0, 'Rest', 'Parte_4', 2.0, 0, None]
[24.0, 'Rest', 'Parte_5', 2.0, 0, None]
[24.5, 'Rest', 'Parte_1', 0.5, 0, None]
[24.5, 'Note', 'Parte_3', 0.5, 44, None]
[25.0, 'Note', 'Parte_1', 0.25, 60, None]
[25.0, 'Note', 'Parte_3', 0.5, 58, None]
[25.25, 'Note', 'Parte_1', 0.25, 72, None]
