[0.0, 'Formula de Compasso', '2/4']
[25.0, 'Note', 'Parte_3', 0.25, 55, None]
[25.25, 'Note', 'Parte_2', 0.25, 63, None]
[25.25, 'Note', 'Parte_3', 0.25, 58, None]
[25.5, 'Note', 'Parte_2', 0.25, 67, None]
[25.5, 'Note', 'Parte_3', 0.25, 55, None]
[25.75, 'Note', 'Parte_1', 0.125, 72, None]
[25.75, 'Note', 'Parte_2', 0.25, 63, None]
[25.75, 'Note', 'Parte_3', 0.25, 49, None]
[25.875, 'Note', 'Parte_1', 0.125, 73, None]
[26.0, 'Note', 'Parte_1', 1.0, 75, None]
[26.0, 'Note', 'Parte_2', 0.25, 68, None]
[26.0, 'Note', 'Parte_3', 0.25, 48, None]
[26.0, 'Note', 'Parte_4', 1.0, 48, None]
[26.25, 'Note', 'Parte_2', 0.25, 63, None]
[26.25, 'Note', 'Parte_3', 0.25, 51, None]
[26.5, 'Note', 'Parte_2', 0.25, 68, None]
[26.5, 'Note', 'Parte_3', 0.25, 48, None]
[26.75, 'Note', 'Parte_2', 0.25, 63, None]
[26.75, 'Note', 'Parte_3', 0.25, 51, None]
[27.0, 'Note', 'Parte_1', 1.0, 69, None]
[27.0, 'Note', 'Parte_2', 0.25, 63, None]
[27.0, 'Note', 'Parte_3', 0.25, 48, None]
[27.0, 'Note', 'Parte_4', 1.0, 41, None]
[27.25, 'Note', 'Parte_2', 0.25, 60, None]
[27.25, 'Note', 'Parte_3', 0.25, 53, None]
[27.5, 'Note', 'Parte_2', 0.25, 63, None]
[27.5, 'Note', 'Parte_3', 0.25, 48, None]
[27.75, 'Note', 'Parte_2', 0.25, 60, None]
[27.75, 'Note', 'Parte_3', 0.25, 53, None]
[28.0, 'Note', 'Parte_1', 1.0, 73, None]
[28.0, 'Note', 'Parte_2', 0.25, 65, None]
[28.0, 'Note', 'Parte_3', 0.25, 49, None]
[28.0, 'Note', 'Parte_4', 1.0, 46, None]
[28.25, 'Note', 'Parte_2', 0.25, 61, None]
[28.25, 'Note', 'Parte_3', 0.25, 53, None]
[28.5, 'Note', 'Parte_2', 0.25, 65, None]
[28.5, 'Note', 'Parte_3', 0.25, 49, None]
[28.75, 'Note', 'Parte_2', 0.25, 61, None]
