[43.5, 'Note', 'Parte_1', 0.5, 81, None]
[43.5, 'Note', 'Parte_2', 0.5, 66, 'stop']
[43.5, 'Note', 'Parte_3', 1.0, 38, None]
[44.0, 'Rest', 'Parte_1', 0.5, 0, None]
[44.0, 'Rest', 'Parte_2', 0.5, 0, None]
[44.5, 'Note', 'Parte_1', 0.5, 74, 'start']
[44.5, 'Note', 'Parte_2', 0.5, 66, None]
[44.5, 'Note', 'Parte_3', 0.5, 45, None]
[45.0, 'Note', 'Parte_1', 0.75, 74, 'stop']
[45.0, 'Note', 'Parte_2', 1.5, 67, 'start']
[45.0, 'Note', 'Parte_3', 1.0, 38, None]
[45.0, 'Rest', 'Parte_4', 3.0, 0, None]
[45.75, 'Note', 'Parte_1', 0.25, 73, None]
[46.0, 'Note', 'Parte_1', 0.25, 72, None]
[46.0, 'Note', 'Parte_3', 0.5, 52, None]
[46.25, 'Note', 'Parte_1', 0.25, 73, None]
[46.5, 'Note', 'Parte_1', 0.5, 81, None]
[46.5, 'Note', 'Parte_2', 0.5, 67, 'stop']
[46.5, 'Note', 'Parte_3', 1.0, 38, None]
[47.0, 'Rest', 'Parte_1', 0.5, 0, None]
[47.0, 'Rest', 'Parte_2', 0.5, 0, None]
[47.5, 'Note', 'Parte_1', 0.5, 73, None]
[47.5, 'Note', 'Parte_2', 0.5, 67, None]
[47.5, 'Note', 'Parte_3', 0.5, 45, None]
[48.0, 'Note', 'Parte_1', 1.0, 74, None]
[48.0, 'Note', 'Parte_2', 1.0, 66, None]
[48.0, 'Note', 'Parte_3', 1.0, 38, None]
[48.0, 'Rest', 'Parte_4', 3.0, 0, None]
[49.0, 'Rest', 'Parte_1', 0.5, 0, None]
[49.0, 'Rest', 'Parte_2', 2.0, 0, None]
[49.0, 'Note', 'Parte_3', 0.5, 50, None]
[49.5, 'Rest', 'Parte_1', 0.5, 0, None]
[49.5, 'Note', 'Parte_3', 1.0, 45, None]
[50.0, 'Rest', 'Parte_1', 0.5, 0, None]
[50.5, 'Note', 'Parte_1', 0.25, 62, None]
[50.5, 'Note', 'Parte_3', 0.5, 42, None]
[50.75, 'Note', 'Parte_1', 0.25, 57, None]
[51.0, 'Rest', 'Parte_1', 0.5, 0, None]
[51.0, 'Rest', 'Parte_2', 3.0, 0, None]
[51.0, 'Note', 'Parte_3', 0.25, 38, None]
[51.0, 'Rest', 'Parte_4', 3.0, 0, None]
[51.25, 'Note', 'Parte_3', 0.25, 42, None]
[51.5, 'Note', 'Parte_1', 0.25, 54, None]
[51.5, 'Note', 'Parte_3', 0.25, 45, None]
[51.75, 'Note', 'Parte_1', 0.25, 57, None]
[51.75, 'Note', 'Parte_3', 0.25, 50, None]
[52.0, 'Note', 'Parte_1', 0.25, 62, None]
[52.0, 'Rest', 'Parte_3', 0.5, 0, None]
[52.25, 'Note', 'Parte_1', 0.25, 66, None]
[52.5, 'Rest', 'Parte_1', 0.5, 0, None]
[52.5, 'Note', 'Parte_3', 0.25, 49, None]
[52.75, 'Note', 'Parte_3', 0.25, 52, None]
[53.0, 'Note', 'Parte_1', 0.25, 64, None]
[53.0, 'Note', 'Parte_3', 0.25, 57, None]
[53.25, 'Note', 'Parte_1', 0.25, 69, None]
[53.25, 'Note', 'Parte_3', 0.25, 61, None]
[53.5, 'Note', 'Parte_1', 0.25, 73, None]
[53.5, 'Rest', 'Parte_3', 0.5, 0, None]
[53.75, 'Note', 'Parte_1', 0.25, 76, None]
[54.0, 'Rest', 'Parte_1', 0.5, 0, None]
[54.0, 'Rest', 'Parte_2', 3.0, 0, None]
[54.0, 'Note', 'Parte_3', 0.25, 47, None]
[54.0, 'Rest', 'Parte_4', 3.0, 0, None]
[54.25, 'Note', 'Parte_3', 0.25, 50, None]
[54.5, 'Note', 'Parte_1', 0.25, 62, None]
[54.5, 'Note', 'Parte_3', 0.25, 54, None]
[54.75, 'Note', 'Parte_1', 0.25, 66, None]
[54.75, 'Note', 'Parte_3', 0.25, 59, None]
[55.0, 'Note', 'Parte_1', 0.25, 71, None]
[55.0, 'Rest', 'Parte_3', 0.5, 0, None]
[55.25, 'Note', 'Parte_1', 0.25, 74, None]
[55.5, 'Rest', 'Parte_1', 0.5, 0, None]
[55.5, 'Note', 'Parte_3', 0.25, 57, None]
[55.75, 'Note', 'Parte_3', 0.25, 61, None]
[56.0, 'Note', 'Parte_1', 0.25, 73, None]
[56.0, 'Note', 'Parte_3', 0.25, 66, None]
[56.25, 'Note', 'Parte_1', 0.25, 78, None]
[56.25, 'Note', 'Parte_3', 0.25, 69, None]
[56.5, 'Note', 'Parte_1', 0.25, 81, None]
[56.5, 'Rest', 'Parte_3', 0.5, 0, None]
[56.75, 'Note', 'Parte_1', 0.25, 85, None]
[57.0, 'Rest', 'Parte_1', 0.5, 0, None]
[57.0, 'Rest', 'Parte_2', 3.0, 0, None]
[57.0, 'Note', 'Parte_3', 0.25, 43, None]
[57.0, 'Rest', 'Parte_4', 3.0, 0, None]
[57.25, 'Note', 'Parte_3', 0.25, 47, None]
[57.5, 'Note', 'Parte_1', 0.25, 59, None]
[57.5, 'Note', 'Parte_3', 0.25, 50, None]
[57.75, 'Note', 'Parte_1', 0.25, 62, None]
[57.75, 'Note', 'Parte_3', 0.25, 55, None]
[58.0, 'Note', 'Parte_1', 0.25, 67, None]
[58.0, 'Rest', 'Parte_3', 0.5, 0, None]
[58.25, 'Note', 'Parte_1', 0.25, 71, None]
[58.5, 'Rest', 'Parte_1', 0.5, 0, None]
[58.5, 'Note', 'Parte_3', 0.25, 54, None]
[58.75, 'Note', 'Parte_3', 0.25, 57, None]
[59.0, 'Note', 'Parte_1', 0.25, 69, None]
[59.0, 'Note', 'Parte_3', 0.25, 62, None]
[59.25, 'Note', 'Parte_1', 0.25, 74, None]
[59.25, 'Note', 'Parte_3', 0.25, 66, None]
[59.5, 'Note', 'Parte_1', 0.25, 78, None]
[59.5, 'Rest', 'Parte_3', 0.5, 0, None]
[59.75, 'Note', 'Parte_1', 0.25, 81, None]
[60.0, 'Chord', 'Parte_1', 0.25, [73, 79], None]
