[0.0, 'Tempo', 290.0]
[0.0, 'Formula de Compasso', '6/8']
[88.0, 'Note', 'Parte_1', 0.5, 68, None]
[88.5, 'Note', 'Parte_1', 0.5, 71, None]
[88.5, 'Note', 'Parte_3', 1.5, 44, None]
[89.0, 'Rest', 'Parte_1', 0.5, 0, None]
[89.5, 'Note', 'Parte_1', 0.5, 71, None]
[90.0, 'Note', 'Parte_1', 0.5, 70, None]
[90.0, 'Rest', 'Parte_2', 1.0, 0, None]
[90.0, 'Note', 'Parte_3', 1.0, 42, None]
[90.0, 'Note', 'Parte_4', 1.0, 51, 'stop']
[90.0, 'Rest', 'Parte_5', 3.0, 0, None]
[90.5, 'Rest', 'Parte_1', 0.5, 0, None]
[91.0, 'Note', 'Parte_1', 0.5, 70, None]
[91.0, 'Rest', 'Parte_2', 0.5, 0, None]
[91.0, 'Rest', 'Parte_3', 0.5, 0, None]
[91.0, 'Rest', 'Parte_4', 0.5, 0, None]
[91.5, 'Note', 'Parte_1', 0.5, 75, None]
[91.5, 'Rest', 'Parte_2', 1.5, 0, None]
[91.5, 'Note', 'Parte_3', 1.5, 51, 'start']
[91.5, 'Note', 'Parte_4', 1.5, 51, None]
[92.0, 'Rest', 'Parte_1', 0.5, 0, None]
[92.5, 'Note', 'Parte_1', 0.5, 75, None]
[93.0, 'Note', 'Parte_1', 0.5, 80, None]
[93.0, 'Rest', 'Parte_2', 3.0, 0, None]
[93.0, 'Note', 'Parte_3', 1.5, 47, None]
[93.0, 'Note', 'Parte_4', 3.0, 51, 'continue']
[93.0, 'Rest', 'Parte_5', 3.0, 0, None]
[93.5, 'Rest', 'Parte_1', 0.5, 0, None]
[94.0, 'Note', 'Parte_1', 0.5, 80, None]
[94.5, 'Note', 'Parte_1', 0.5, 83, None]
[94.5, 'Note', 'Parte_3', 1.5, 44, None]
[95.0, 'Rest', 'Parte_1', 0.5, 0, None]
[95.5, 'Note', 'Parte_1', 0.5, 83, None]
[96.0, 'Note', 'Parte_1', 0.5, 82, None]
[96.0, 'Rest', 'Parte_2', 1.0, 0, None]
[96.0, 'Note', 'Parte_3', 1.0, 42, None]
[96.0, 'Note', 'Parte_4', 1.0, 51, 'stop']
[96.0, 'Rest', 'Parte_5', 3.0, 0, None]
[96.5, 'Rest', 'Parte_1', 0.5, 0, None]
[97.0, 'Note', 'Parte_1', 0.5, 70, None]
[97.0, 'Rest', 'Parte_2', 0.5, 0, None]
[97.0, 'Rest', 'Parte_3', 0.5, 0, None]
[97.0, 'Rest', 'Parte_4', 0.5, 0, None]
[97.5, 'Note', 'Parte_1', 0.5, 63, None]
[97.5, 'Rest', 'Parte_2', 1.5, 0, None]
[97.5, 'Note', 'Parte_3', 1.5, 51, 'start']
[97.5, 'Note', 'Parte_4', 1.5, 51, None]
[98.0, 'Rest', 'Parte_1', 0.5, 0, None]
[98.5, 'Note', 'Parte_1', 0.5, 63, None]
[99.0, 'Note', 'Parte_1', 0.5, 69, None]
[99.0, 'Rest', 'Parte_2', 3.0, 0, None]
[99.0, 'Note', 'Parte_3', 1.5, 48, None]
[99.0, 'Note', 'Parte_4', 3.0, 51, 'stop']
[99.0, 'Rest', 'Parte_5', 3.0, 0, None]
[99.5, 'Rest', 'Parte_1', 0.5, 0, None]
[100.0, 'Note', 'Parte_1', 0.5, 69, None]
[100.5, 'Note', 'Parte_1', 0.5, 72, None]
[100.5, 'Note', 'Parte_3', 1.5, 46, None]
[101.0, 'Rest', 'Parte_1', 0.5, 0, None]
[101.5, 'Note', 'Parte_1', 0.5, 72, None]
[102.0, 'Note', 'Parte_1', 1.5, 65, None]
[102.0, 'Note', 'Parte_2', 3.0, 65, 'start']
[102.0, 'Note', 'Parte_3', 0.5, 45, None]
[102.0, 'Rest', 'Parte_4', 3.0, 0, None]
[102.0, 'Rest', 'Parte_5', 3.0, 0, None]
[102.5, 'Note', 'Parte_3', 0.5, 60, None]
[103.0, 'Note', 'Parte_3', 0.5, 63, None]
[103.5, 'Note', 'Parte_1', 1.5, 77, 'start']
[103.5, 'Note', 'Parte_3', 0.5, 57, None]
[104.0, 'Note', 'Parte_3', 0.5, 60, None]
[104.5, 'Note', 'Parte_3', 0.5, 63, None]
[105.0, 'Note', 'Parte_1', 1.5, 77, 'stop']
[105.0, 'Note', 'Parte_2', 1.5, 65, 'stop']
[105.0, 'Rest', 'Parte_3', 1.5, 0, None]
[105.0, 'Note', 'Parte_4', 0.5, 57, None]
[105.0, 'Rest', 'Parte_5', 3.0, 0, None]
[105.5, 'Note', 'Parte_4', 0.5, 60, None]
[106.0, 'Note', 'Parte_4', 0.5, 63, None]
[106.5, 'Note', 'Parte_1', 1.0, 77, None]
[106.5, 'Rest', 'Parte_2', 1.5, 0, None]
[106.5, 'Rest', 'Parte_3', 1.5, 0, None]
[106.5, 'Note', 'Parte_4', 0.5, 57, None]
[107.0, 'Note', 'Parte_4', 0.5, 60, None]
[107.5, 'Rest', 'Parte_1', 0.5, 0, None]
[107.5, 'Note', 'Parte_4', 0.5, 63, None]
[108.0, 'Note', 'Parte_1', 1.0, 77, None]
[108.0, 'Rest', 'Parte_2', 3.0, 0, None]
[108.0, 'Note', 'Parte_3', 0.5, 57, None]
[108.0, 'Rest', 'Parte_4', 3.0, 0, None]
[108.0, 'Rest', 'Parte_5', 3.0, 0, None]
[108.5, 'Note', 'Parte_3', 0.5, 60, None]
[109.0, 'Rest', 'Parte_1', 0.5, 0, None]
[109.0, 'Note', 'Parte_3', 0.5, 63, None]
[109.5, 'Note', 'Parte_1', 1.0, 77, None]
[109.5, 'Note', 'Parte_3', 0.5, 57, None]
[110.0, 'Note', 'Parte_3', 0.5, 60, None]
[110.5, 'Rest', 'Parte_1', 0.5, 0, None]
[110.5, 'Note', 'Parte_3', 0.5, 63, None]
