[0.0, 'Formula de Compasso', '3/4']
[49.0, 'Rest', 'Parte_4', 1.0, 0, None]
[50.0, 'Rest', 'Parte_1', 1.0, 0, None]
[50.0, 'Rest', 'Parte_2', 1.0, 0, None]
[50.0, 'Rest', 'Parte_4', 1.0, 0, None]
[51.0, 'Chord', 'Parte_1', 0.5, [56, 60], None]
[51.0, 'Rest', 'Parte_2', 3.0, 0, None]
[51.0, 'Rest', 'Parte_3', 3.0, 0, None]
[51.0, 'Rest', 'Parte_4', 1.0, 0, None]
[51.0, 'Rest', 'Parte_5', 3.0, 0, None]
[51.0, 'Rest', 'Parte_6', 3.0, 0, None]
[51.5, 'Chord', 'Parte_1', 0.5, [58, 61], None]
[52.0, 'Rest', 'Parte_1', 2.0, 0, None]
[52.0, 'Rest', 'Parte_4', 2.0, 0, None]
[54.0, 'Chord', 'Parte_1', 2.0, [60, 63], None]
[54.0, 'Rest', 'Parte_2', 3.0, 0, None]
[54.0, 'Rest', 'Parte_3', 3.0, 0, None]
[54.0, 'Note', 'Parte_4', 1.0, 32, None]
[54.0, 'Rest', 'Parte_5', 3.0, 0, None]
[54.0, 'Rest', 'Parte_6', 3.0, 0, None]
[55.0, 'Note', 'Parte_4', 1.0, 44, None]
[56.0, 'Chord', 'Parte_1', 1.0, [61, 65], None]
[56.0, 'Rest', 'Parte_4', 1.0, 0, None]
[57.0, 'Chord', 'Parte_1', 1.0, [63, 66], None]
[57.0, 'Rest', 'Parte_2', 3.0, 0, None]
[57.0, 'Rest', 'Parte_3', 3.0, 0, None]
[57.0, 'Note', 'Parte_4', 1.0, 32, None]
[57.0, 'Rest', 'Parte_5', 3.0, 0, None]
[57.0, 'Rest', 'Parte_6', 3.0, 0, None]
[58.0, 'Rest', 'Parte_1', 1.0, 0, None]
[58.0, 'Note', 'Parte_4', 1.0, 44, None]
[59.0, 'Chord', 'Parte_1', 1.0, [63, 66], None]
[59.0, 'Rest', 'Parte_4', 1.0, 0, None]
[60.0, 'Chord', 'Parte_1', 1.0, [66, 72], None]
[60.0, 'Rest', 'Parte_2', 3.0, 0, None]
[60.0, 'Rest', 'Parte_3', 3.0, 0, None]
[60.0, 'Note', 'Parte_4', 1.0, 32, None]
[60.0, 'Rest', 'Parte_5', 3.0, 0, None]
[60.0, 'Rest', 'Parte_6', 3.0, 0, None]
[61.0, 'Chord', 'Parte_1', 1.0, [72, 75], None]
[61.0, 'Note', 'Parte_4', 1.0, 44, None]
[62.0, 'Chord', 'Parte_1', 1.0, [75, 78], 'start']
[62.0, 'Note', 'Parte_4', 1.0, 32, None]
[63.0, 'Chord', 'Parte_1', 1.0, [75, 78], 'stop']
[63.0, 'Rest', 'Parte_2', 3.0, 0, None]
[63.0, 'Rest', 'Parte_3', 3.0, 0, None]
[63.0, 'Note', 'Parte_4', 1.0, 33, None]
[63.0, 'Rest', 'Parte_5', 3.0, 0, None]
[63.0, 'Rest', 'Parte_6', 3.0, 0, None]
[64.0, 'Chord', 'Parte_1', 1.0, [74, 77], None]
[64.0, 'Note', 'Parte_4', 1.0, 34, None]
[65.0, 'Chord', 'Parte_1', 0.5, [58, 62], None]
[65.0, 'Rest', 'Parte_4', 1.0, 0, None]
[65.5, 'Chord', 'Parte_1', 0.5, [60, 63], None]
[66.0, 'Chord', 'Parte_1', 2.0, [62, 65], None]
[66.0, 'Rest', 'Parte_2', 3.0, 0, None]
[66.0, 'Rest', 'Parte_3', 3.0, 0, None]
[66.0, 'Note', 'Parte_4', 1.0, 34, None]
[66.0, 'Rest', 'Parte_5', 3.0, 0, None]
[66.0, 'Rest', 'Parte_6', 3.0, 0, None]
[67.0, 'Note', 'Parte_4', 1.0, 46, None]
[68.0, 'Chord', 'Parte_1', 1.0, [64, 67], None]
[68.0, 'Rest', 'Parte_4', 1.0, 0, None]
[69.0, 'Chord', 'Parte_1', 1.0, [65, 68], None]
[69.0, 'Rest', 'Parte_2', 3.0, 0, None]
[69.0, 'Rest', 'Parte_3', 3.0, 0, None]
[69.0, 'Note', 'Parte_4', 1.0, 34, None]
[69.0, 'Rest', 'Parte_5', 3.0, 0, None]
[69.0, 'Rest', 'Parte_6', 3.0, 0, None]
