[0.0, 'Formula de Compasso', '2/4']
[19.75, 'Note', 'Parte_5', 0.25, 47, None]
[20.0, 'Note', 'Parte_1', 1.0, 76, None]
[20.0, 'Rest', 'Parte_2', 2.0, 0, None]
[20.0, 'Rest', 'Parte_3', 2.0, 0, None]
[20.0, 'Note', 'Parte_4', 0.25, 45, None]
[20.0, 'Rest', 'Parte_5', 2.0, 0, None]
[20.0, 'Rest', 'Parte_6', 2.0, 0, None]
[20.25, 'Note', 'Parte_4', 0.25, 48, None]
[20.5, 'Note', 'Parte_4', 0.25, 54, None]
[20.75, 'Note', 'Parte_4', 0.25, 48, None]
[21.0, 'Note', 'Parte_1', 0.5, 74, None]
[21.0, 'Note', 'Parte_4', 0.25, 45, None]
[21.25, 'Note', 'Parte_4', 0.25, 48, None]
[21.5, 'Rest', 'Parte_1', 0.5, 0, None]
[21.5, 'Note', 'Parte_4', 0.25, 54, None]
[21.75, 'Note', 'Parte_4', 0.25, 48, None]
[22.0, 'Rest', 'Parte_1', 0.75, 0, None]
[22.0, 'Rest', 'Parte_2', 2.0, 0, None]
[22.0, 'Rest', 'Parte_3', 2.0, 0, None]
[22.0, 'Note', 'Parte_4', 0.25, 45, None]
[22.0, 'Rest', 'Parte_5', 2.0, 0, None]
[22.0, 'Rest', 'Parte_6', 2.0, 0, None]
[22.25, 'Note', 'Parte_4', 0.25, 48, None]
[22.5, 'Note', 'Parte_4', 0.25, 54, None]
[22.75, 'Note', 'Parte_1', 0.25, 74, None]
[22.75, 'Note', 'Parte_4', 0.25, 48, None]
[23.0, 'Note', 'Parte_1', 0.25, 74, None]
[23.0, 'Note', 'Parte_4', 0.25, 45, None]
[23.25, 'Note', 'Parte_1', 0.25, 74, None]
[23.25, 'Note', 'Parte_4', 0.25, 48, None]
[23.5, 'Note', 'Parte_1', 0.25, 74, None]
[23.5, 'Note', 'Parte_4', 0.25, 54, None]
[23.75, 'Note', 'Parte_1', 0.25, 74, None]
[23.75, 'Note', 'Parte_4', 0.25, 48, None]
[24.0, 'Note', 'Parte_1', 1.0, 76, None]
[24.0, 'Rest', 'Parte_2', 2.0, 0, None]
[24.0, 'Rest', 'Parte_3', 2.0, 0, None]
[24.0, 'Note', 'Parte_4', 0.25, 47, None]
[24.0, 'Rest', 'Parte_5', 2.0, 0, None]
[24.0, 'Rest', 'Parte_6', 2.0, 0, None]
[24.25, 'Note', 'Parte_4', 0.25, 50, None]
[24.5, 'Note', 'Parte_4', 0.25, 55, None]
[24.75, 'Note', 'Parte_4', 0.25, 50, None]
[25.0, 'Note', 'Parte_1', 0.5, 74, None]
[25.0, 'Note', 'Parte_4', 0.25, 47, None]
[25.25, 'Note', 'Parte_4', 0.25, 50, None]
[25.5, 'Rest', 'Parte_1', 0.5, 0, None]
[25.5, 'Note', 'Parte_4', 0.25, 55, None]
[25.75, 'Note', 'Parte_4', 0.25, 50, None]
[26.0, 'Rest', 'Parte_1', 0.5, 0, None]
[26.0, 'Rest', 'Parte_2', 2.0, 0, None]
[26.0, 'Rest', 'Parte_3', 2.0, 0, None]
[26.0, 'Note', 'Parte_4', 0.25, 47, None]
[26.0, 'Rest', 'Parte_5', 2.0, 0, None]
[26.0, 'Rest', 'Parte_6', 2.0, 0, None]
[26.25, 'Note', 'Parte_4', 0.25, 50, None]
[26.5, 'Note', 'Parte_1', 0.5, 74, 'start']
[26.5, 'Note', 'Parte_4', 0.25, 55, None]
[26.75, 'Note', 'Parte_4', 0.25, 50, None]
[27.0, 'Note', 'Parte_1', 0.25, 74, 'stop']
[27.0, 'Note', 'Parte_4', 0.25, 47, None]
[27.25, 'Note', 'Parte_1', 0.125, 76, None]
[27.25, 'Note', 'Parte_4', 0.25, 50, None]
[27.375, 'Note', 'Parte_1', 0.125, 74, None]
[27.5, 'Note', 'Parte_1', 0.25, 72, None]
[27.5, 'Note', 'Parte_4', 0.25, 55, None]
[27.75, 'Note', 'Parte_1', 0.25, 71, None]
[27.75, 'Note', 'Parte_4', 0.25, 50, None]
[28.0, 'Note', 'Parte_1', 0.5, 71, None]
[28.0, 'Rest', 'Parte_2', 0.25, 0, None]
[28.0, 'Rest', 'Parte_3', 2.0, 0, None]
[28.0, 'Rest', 'Parte_4', 0.25, 0, None]
[28.0, 'Note', 'Parte_5', 0.25, 48, None]
[28.0, 'Rest', 'Parte_6', 2.0, 0, None]
[28.25, 'Rest', 'Parte_2', 1.75, 0, None]
[28.25, 'Rest', 'Parte_4', 1.75, 0, None]
[28.25, 'Note', 'Parte_5', 0.25, 52, None]
[28.5, 'Note', 'Parte_1', 1.0, 69, None]
[28.5, 'Note', 'Parte_5', 0.25, 57, None]
[28.75, 'Note', 'Parte_5', 0.25, 52, None]
[29.0, 'Note', 'Parte_5', 0.25, 49, None]
[29.25, 'Note', 'Parte_5', 0.25, 52, None]
[29.5, 'Note', 'Parte_1', 0.5, 67, None]
[29.5, 'Note', 'Parte_5', 0.25, 57, None]
[29.75, 'Note', 'Parte_5', 0.25, 52, None]
[30.0, 'Note', 'Parte_1', 0.0, 66, None]
[30.0, 'Note', 'Parte_1', 0.0, 67, None]
[30.0, 'Note', 'Parte_1', 0.0, 69, None]
[30.0, 'Note', 'Parte_1', 0.5, 67, None]
[30.0, 'Rest', 'Parte_2', 2.0, 0, None]
[30.0, 'Rest', 'Parte_3', 2.0, 0, None]
[30.0, 'Note', 'Parte_4', 0.25, 50, None]
[30.0, 'Rest', 'Parte_5', 2.0, 0, None]
[30.0, 'Rest', 'Parte_6', 2.0, 0, None]
[30.25, 'Note', 'Parte_4', 0.25, 54, None]
[30.5, 'Note', 'Parte_1', 1.0, 66, None]
[30.5, 'Note', 'Parte_4', 0.25, 57, None]
[30.75, 'Note', 'Parte_4', 0.25, 54, None]
[31.0, 'Note', 'Parte_4', 0.25, 50, None]
[31.25, 'Note', 'Parte_4', 0.25, 54, None]
[31.5, 'Note', 'Parte_1', 0.5, 74, None]
[31.5, 'Note', 'Parte_4', 0.25, 59, None]
[31.75, 'Note', 'Parte_4', 0.25, 54, None]
[32.0, 'Note', 'Parte_1', 0.5, 74, None]
[32.0, 'Rest', 'Parte_2', 2.0, 0, None]
[32.0, 'Rest', 'Parte_3', 2.0, 0, None]
[32.0, 'Note', 'Parte_4', 0.25, 52, None]
[32.0, 'Rest', 'Parte_5', 2.0, 0, None]
[32.0, 'Rest', 'Parte_6', 2.0, 0, None]
[32.25, 'Note', 'Parte_4', 0.25, 55, None]
[32.5, 'Note', 'Parte_1', 1.0, 73, None]
[32.5, 'Note', 'Parte_4', 0.25, 59, None]
[32.75, 'Note', 'Parte_4', 0.25, 55, None]
[33.0, 'Note', 'Parte_4', 0.25, 52, None]
[33.25, 'Note', 'Parte_4', 0.25, 55, None]
[33.5, 'Note', 'Parte_1', 0.5, 71, None]
[33.5, 'Note', 'Parte_4', 0.25, 61, None]
[33.75, 'Note', 'Parte_4', 0.25, 55, None]
[34.0, 'Note', 'Parte_1', 0.0, 69, None]
[34.0, 'Note', 'Parte_1', 0.0, 71, None]
[34.0, 'Note', 'Parte_1', 0.0, 73, None]
[34.0, 'Note', 'Parte_1', 0.5, 71, None]
[34.0, 'Rest', 'Parte_2', 2.0, 0, None]
[34.0, 'Rest', 'Parte_3', 2.0, 0, None]
[34.0, 'Note', 'Parte_4', 0.25, 54, None]
[34.0, 'Rest', 'Parte_5', 2.0, 0, None]
[34.0, 'Rest', 'Parte_6', 2.0, 0, None]
[34.25, 'Note', 'Parte_4', 0.25, 57, None]
[34.5, 'Note', 'Parte_1', 1.0, 69, None]
[34.5, 'Note', 'Parte_4', 0.25, 61, None]
[34.75, 'Note', 'Parte_4', 0.25, 57, None]
[35.0, 'Note', 'Parte_4', 0.25, 54, None]
[35.25, 'Note', 'Parte_4', 0.25, 57, None]
[35.5, 'Note', 'Parte_1', 0.5, 78, None]
[35.5, 'Note', 'Parte_4', 0.25, 62, None]
[35.75, 'Note', 'Parte_4', 0.25, 57, None]
[36.0, 'Note', 'Parte_1', 0.5, 78, None]
[36.0, 'Rest', 'Parte_2', 2.0, 0, None]
[36.0, 'Rest', 'Parte_3', 2.0, 0, None]
[36.0, 'Note', 'Parte_4', 0.25, 55, None]
[36.0, 'Rest', 'Parte_5', 2.0, 0, None]
[36.0, 'Rest', 'Parte_6', 2.0, 0, None]
[36.25, 'Note', 'Parte_4', 0.25, 59, None]
[36.5, 'Tempo', 80.0]
[36.5, 'Note', 'Parte_1', 1.0, 76, None]
[36.5, 'Note', 'Parte_4', 0.25, 64, None]
[36.75, 'Note', 'Parte_4', 0.25, 59, None]
[37.0, 'Tempo', 95.0]
[37.0, 'Note', 'Parte_4', 0.25, 56, None]
[37.25, 'Note', 'Parte_4', 0.25, 59, None]
[37.5, 'Note', 'Parte_1', 0.5, 74, None]
[37.5, 'Note', 'Parte_4', 0.25, 64, None]
[37.75, 'Note', 'Parte_4', 0.25, 59, None]
[38.0, 'Note', 'Parte_1', 0.5, 74, None]
[38.0, 'Rest', 'Parte_2', 2.0, 0, None]
[38.0, 'Rest', 'Parte_3', 2.0, 0, None]
[38.0, 'Note', 'Parte_4', 0.25, 57, None]
[38.0, 'Rest', 'Parte_5', 2.0, 0, None]
[38.0, 'Rest', 'Parte_6', 2.0, 0, None]
[38.25, 'Note', 'Parte_4', 0.25, 64, None]
[38.5, 'Note', 'Parte_1', 1.0, 73, None]
[38.5, 'Note', 'Parte_4', 0.25, 69, None]
[38.75, 'Note', 'Parte_4', 0.25, 64, None]
[39.0, 'Note', 'Parte_4', 0.25, 57, None]
[39.25, 'Note', 'Parte_4', 0.25, 62, None]
[39.5, 'Note', 'Parte_1', 0.5, 71, None]
[39.5, 'Note', 'Parte_4', 0.25, 68, None]
[39.75, 'Note', 'Parte_4', 0.25, 62, None]
[40.0, 'Note', 'Parte_1', 0.5, 71, None]
[40.0, 'Rest', 'Parte_2', 2.0, 0, None]
[40.0, 'Rest', 'Parte_3', 2.0, 0, None]
[40.0, 'Note', 'Parte_4', 0.25, 57, None]
[40.0, 'Rest', 'Parte_5', 2.0, 0, None]
[40.0, 'Rest', 'Parte_6', 2.0, 0, None]
[40.25, 'Note', 'Parte_4', 0.25, 61, None]
[40.5, 'Note', 'Parte_1', 0.5, 69, None]
[40.5, 'Note', 'Parte_4', 0.25, 64, None]
[40.75, 'Note', 'Parte_4', 0.25, 61, None]
[41.0, 'Tuplet 3:2', 'Parte_1', [['Rest', 0.25, 0, None], ['Note', 0.25, 74, None], ['Note', 0.25, 76, None]]]
[41.0, 'Note', 'Parte_4', 0.25, 57, None]
[41.25, 'Note', 'Parte_4', 0.25, 64, None]
[41.5, 'Tuplet 3:2', 'Parte_1', [['Note', 0.25, 78, None], ['Note', 0.25, 76, None], ['Note', 0.25, 74, None]]]
[41.5, 'Note', 'Parte_4', 0.25, 68, None]
[41.75, 'Note', 'Parte_4', 0.25, 64, None]
[42.0, 'Note', 'Parte_1', 0.5, 74, None]
[42.0, 'Rest', 'Parte_2', 2.0, 0, None]
[42.0, 'Rest', 'Parte_3', 2.0, 0, None]
[42.0, 'Note', 'Parte_4', 0.25, 57, None]
[42.0, 'Rest', 'Parte_5', 2.0, 0, None]
[42.0, 'Rest', 'Parte_6', 2.0, 0, None]
[42.25, 'Note', 'Parte_4', 0.25, 64, None]
[42.5, 'Note', 'Parte_1', 0.5, 73, None]
[42.5, 'Note', 'Parte_4', 0.25, 69, None]
[42.75, 'Note', 'Parte_4', 0.25, 64, None]
[43.0, 'Tuplet 3:2', 'Parte_1', [['Rest', 0.25, 0, None], ['Note', 0.25, 71, None], ['Note', 0.25, 73, None]]]
[43.0, 'Note', 'Parte_4', 0.25, 57, None]
[43.25, 'Note', 'Parte_4', 0.25, 62, None]
[43.5, 'Tuplet 3:2', 'Parte_1', [['Note', 0.25, 74, None], ['Note', 0.25, 73, None], ['Note', 0.25, 71, None]]]
[43.5, 'Note', 'Parte_4', 0.25, 68, None]
[43.75, 'Note', 'Parte_4', 0.25, 62, None]
[44.0, 'Note', 'Parte_1', 0.5, 71, None]
[44.0, 'Rest', 'Parte_2', 2.0, 0, None]
[44.0, 'Rest', 'Parte_3', 2.0, 0, None]
[44.0, 'Note', 'Parte_4', 0.25, 57, None]
[44.0, 'Rest', 'Parte_5', 2.0, 0, None]
[44.0, 'Rest', 'Parte_6', 2.0, 0, None]
[44.25, 'Note', 'Parte_4', 0.25, 61, None]
[44.5, 'Note', 'Parte_1', 0.5, 69, None]
[44.5, 'Note', 'Parte_4', 0.25, 64, None]
[44.75, 'Note', 'Parte_4', 0.25, 61, None]
[45.0, 'Tuplet 3:2', 'Parte_1', [['Rest', 0.25, 0, None], ['Note', 0.25, 74, None], ['Note', 0.25, 76, None]]]
[45.0, 'Note', 'Parte_4', 0.25, 57, None]
[45.25, 'Note', 'Parte_4', 0.25, 64, None]
[45.5, 'Tuplet 3:2', 'Parte_1', [['Note', 0.25, 78, None], ['Note', 0.25, 76, None], ['Note', 0.25, 74, None]]]
[45.5, 'Note', 'Parte_4', 0.25, 68, None]
[45.75, 'Note', 'Parte_4', 0.25, 64, None]
[46.0, 'Tuplet 3:2', 'Parte_1', [['Note', 0.25, 74, None], ['Note', 0.25, 73, None], ['Note', 0.25, 74, None]]]
[46.0, 'Rest', 'Parte_2', 2.0, 0, None]
[46.0, 'Rest', 'Parte_3', 2.0, 0, None]
[46.0, 'Note', 'Parte_4', 0.25, 57, None]
[46.0, 'Rest', 'Parte_5', 2.0, 0, None]
[46.0, 'Rest', 'Parte_6', 2.0, 0, None]
[46.25, 'Note', 'Parte_4', 0.25, 64, None]
[46.5, 'Tuplet 3:2', 'Parte_1', [['Note', 0.25, 76, None], ['Note', 0.25, 74, None], ['Note', 0.25, 73, None]]]
[46.5, 'Note', 'Parte_4', 0.25, 69, None]
[46.75, 'Note', 'Parte_4', 0.25, 64, None]
[47.0, 'Tuplet 3:2', 'Parte_1', [['Note', 0.25, 73, None], ['Note', 0.25, 71, None], ['Note', 0.25, 73, None]]]
[47.0, 'Note', 'Parte_4', 0.25, 57, None]
[47.25, 'Note', 'Parte_4', 0.25, 62, None]
[47.5, 'Tuplet 3:2', 'Parte_1', [['Note', 0.25, 74, None], ['Note', 0.25, 73, None], ['Note', 0.25, 71, None]]]
[47.5, 'Note', 'Parte_4', 0.25, 68, None]
[47.75, 'Note', 'Parte_4', 0.25, 62, None]
[48.0, 'Tuplet 3:2', 'Parte_1', [['Note', 0.25, 71, None], ['Note', 0.25, 69, None], ['Note', 0.25, 68, None]]]
[48.0, 'Rest', 'Parte_2', 2.0, 0, None]
[48.0, 'Rest', 'Parte_3', 2.0, 0, None]
[48.0, 'Chord', 'Parte_4', 0.5, [57, 61, 64], None]
[48.0, 'Rest', 'Parte_5', 2.0, 0, None]
[48.0, 'Rest', 'Parte_6', 2.0, 0, None]
[48.5, 'Tuplet 3:2', 'Parte_1', [['Note', 0.25, 69, None], ['Note', 0.25, 71, None], ['Note', 0.25, 73, None]]]
[48.5, 'Rest', 'Parte_4', 0.5, 0, None]
[49.0, 'Tempo', 95.0]
[49.0, 'Tuplet 3:2', 'Parte_1', [['Note', 0.25, 74, None], ['Note', 0.25, 75, None], ['Note', 0.25, 76, None]]]
[49.0, 'Rest', 'Parte_4', 1.0, 0, None]
[49.5, 'Tempo', 83.0]
[49.5, 'Note', 'Parte_1', 0.125, 77, None]
[49.625, 'Note', 'Parte_1', 0.125, 78, None]
[49.75, 'Note', 'Parte_1', 0.125, 79, None]
[49.875, 'Note', 'Parte_1', 0.125, 80, None]
[50.0, 'Tempo', 71.0]
[50.0, 'Note', 'Parte_1', 0.5, 81, None]
[50.0, 'Rest', 'Parte_2', 2.0, 0, None]
[50.0, 'Rest', 'Parte_3', 2.0, 0, None]
[50.0, 'Rest', 'Parte_4', 2.0, 0, None]
[50.0, 'Rest', 'Parte_5', 2.0, 0, None]
[50.0, 'Rest', 'Parte_6', 2.0, 0, None]
[50.5, 'Tempo', 60.0]
[50.5, 'Note', 'Parte_1', 0.5, 81, None]
[51.0, 'Tempo', 95.0]
[51.0, 'Note', 'Parte_1', 0.5, 81, None]
[51.5, 'Note', 'Parte_1', 0.5, 81, None]
[52.0, 'Chord', 'Parte_1', 0.75, [78, 81], None]
[52.0, 'Rest', 'Parte_2', 2.0, 0, None]
[52.0, 'Rest', 'Parte_3', 2.0, 0, None]
[52.0, 'Rest', 'Parte_4', 0.25, 0, None]
[52.0, 'Rest', 'Parte_5', 2.0, 0, None]
[52.0, 'Rest', 'Parte_6', 2.0, 0, None]
[52.25, 'Note', 'Parte_4', 0.25, 38, None]
[52.5, 'Note', 'Parte_4', 0.25, 50, None]
[52.75, 'Chord', 'Parte_1', 0.25, [77, 80], None]
