[0.0, 'Tempo', 180.0]
[0.0, 'Formula de Compasso', '2/2']
[52.0, 'Rest', 'Parte_4', 4.0, 0, None]
[52.5, 'Note', 'Parte_1', 0.5, 80, None]
[52.5, 'Note', 'Parte_3', 0.5, 60, None]
[53.0, 'Note', 'Parte_1', 0.5, 79, None]
[53.0, 'Note', 'Parte_3', 0.5, 56, None]
[53.5, 'Note', 'Parte_1', 0.5, 77, None]
[53.5, 'Note', 'Parte_3', 0.5, 60, None]
[54.0, 'Note', 'Parte_1', 0.5, 75, None]
[54.0, 'Note', 'Parte_3', 0.5, 55, None]
[54.5, 'Note', 'Parte_1', 0.5, 74, None]
[54.5, 'Note', 'Parte_3', 0.5, 65, None]
[55.0, 'Note', 'Parte_1', 0.5, 72, None]
[55.0, 'Note', 'Parte_3', 0.5, 59, None]
[55.5, 'Note', 'Parte_1', 0.5, 71, None]
[55.5, 'Note', 'Parte_3', 0.5, 65, None]
[56.0, 'Note', 'Parte_1', 1.0, 72, None]
[56.0, 'Rest', 'Parte_2', 4.0, 0, None]
[56.0, 'Note', 'Parte_3', 0.5, 56, None]
[56.0, 'Rest', 'Parte_4', 4.0, 0, None]
[56.5, 'Note', 'Parte_3', 0.5, 63, None]
[57.0, 'Chord', 'Parte_1', 2.0, [72, 84], None]
[57.0, 'Note', 'Parte_3', 0.5, 60, None]
[57.5, 'Note', 'Parte_3', 0.5, 63, None]
[58.0, 'Note', 'Parte_3', 0.5, 55, None]
[58.5, 'Note', 'Parte_3', 0.5, 64, None]
[59.0, 'Note', 'Parte_1', 1.0, 82, 'start']
[59.0, 'Note', 'Parte_3', 0.5, 60, None]
[59.5, 'Note', 'Parte_3', 0.5, 64, None]
[60.0, 'Note', 'Parte_1', 0.5, 82, 'stop']
[60.0, 'Rest', 'Parte_2', 4.0, 0, None]
[60.0, 'Note', 'Parte_3', 0.5, 53, None]
[60.0, 'Rest', 'Parte_4', 4.0, 0, None]
