74,2/3,100.0,0
r,1/3,302/3,0
74,2/3,101.0,0
r,1/3,305/3,0
r,1.0,102.0,0
74,2/3,103.0,0
r,1/3,311/3,0
74,2/3,104.0,0
r,1/3,314/3,0
r,1.0,105.0,0
74,2/3,106.0,0
r,1/3,320/3,0
74,2/3,107.0,0
r,1/3,323/3,0
r,1.0,108.0,0
76,2/3,109.0,0
r,1/3,329/3,0
76,2/3,110.0,0
r,1/3,332/3,0
r,1.0,111.0,0
76,2/3,112.0,0
r,1/3,338/3,0
76,2/3,113.0,0
r,1/3,341/3,0
r,1.0,114.0,0
76,2/3,115.0,0
r,1/3,347/3,0
76,2/3,116.0,0
r,1/3,350/3,0
r,1.0,117.0,0
76,2/3,118.0,0
r,1/3,356/3,0
76,2/3,119.0,0
r,1/3,359/3,0
r,1.0,120.0,0
78,2/3,121.0,0
r,1/3,365/3,0
78,2/3,122.0,0
r,1/3,368/3,0
r,1.0,123.0,0
78,2/3,124.0,0
r,1/3,374/3,0
78,2/3,125.0,0
r,1/3,377/3,0
r,1.0,126.0,0
78,2/3,127.0,0
r,1/3,383/3,0
78,2/3,128.0,0
r,1/3,386/3,0
r,1.0,129.0,0
78,2/3,130.0,0
r,1/3,392/3,0
78,2/3,131.0,0
r,1/3,395/3,0
r,1.0,132.0,0
79,2/3,133.0,0
r,1/3,401/3,0
79,2/3,134.0,0
r,1/3,404/3,0
r,1.0,135.0,0
79,2/3,136.0,0
r,1/3,410/3,0
79,2/3,137.0,0
r,1/3,413/3,0
r,1.0,138.0,0
79,7.0,139.0,0
r,1.0,146.0,0
74,3.0,147.0,0
78,3.0,147.0,0
r,3.0,150.0,0
r,3.0,153.0,0
r,3.0,156.0,0
69,0.5,159.0,0
66,0.5,159.5,0
62,2/3,160.0,0
r,4/3,482/3,0
71,0.5,162.0,0
67,0.5,162.5,0
64,2/3,163.0,0
r,4/3,491/3,0
67,0.5,165.0,0
64,0.5,165.5,0
61,2/3,166.0,0
r,4/3,500/3,0
62,2/3,168.0,0
r,1/3,506/3,0
62,2/3,169.0,0
r,4/3,509/3,0
78,3.0,171.0,0
81,3.0,171.0,0
86,3.0,171.0,0
r,3.0,174.0,0
r,3.0,177.0,0
r,3.0,180.0,0
81,0.5,183.0,0
78,0.5,183.5,0
75,2/3,184.0,0
r,4/3,554/3,0
83,0.5,186.0,0
79,0.5,186.5,0
76,2/3,187.0,0
r,4/3,563/3,0
81,0.5,189.0,0
76,0.5,189.5,0
73,2/3,190.0,0
r,4/3,572/3,0
74,0.5,192.0,0
69,0.5,192.5,0
66,2/3,193.0,0
r,4/3,581/3,0
69,0.5,195.0,0
64,0.5,195.5,0
61,2/3,196.0,0
r,4/3,590/3,0
62,0.5,198.0,0
57,0.5,198.5,0
54,2/3,199.0,0
r,4/3,599/3,0
69,0.5,201.0,0
64,0.5,201.5,0
61,2/3,202.0,0
r,4/3,608/3,0
62,2/3,204.0,0
r,1/3,614/3,0
62,2/3,205.0,0
r,4/3,617/3,0
74,2.0,207.0,0
86,2.0,207.0,0
r,1.0,209.0,0
r,3.0,210.0,0
r,1.0,213.0,0
74,2/3,214.0,0
r,1/3,644/3,0
74,2/3,215.0,0
r,1/3,647/3,0
r,1.0,216.0,0
74,2/3,217.0,0
r,1/3,653/3,0
74,2/3,218.0,0
r,1/3,656/3,0
r,1.0,219.0,0
74,2/3,220.0,0
r,1/3,662/3,0
74,2/3,221.0,0
r,1/3,665/3,0
r,1.0,222.0,0
74,2/3,223.0,0
r,1/3,671/3,0
74,2/3,224.0,0
r,1/3,674/3,0
r,1.0,225.0,0
76,2/3,226.0,0
r,1/3,680/3,0
76,2/3,227.0,0
r,1/3,683/3,0
r,1.0,228.0,0
76,2/3,229.0,0
r,1/3,689/3,0
76,2/3,230.0,0
r,1/3,692/3,0
r,1.0,231.0,0
76,2/3,232.0,0
r,1/3,698/3,0
76,2/3,233.0,0
r,1/3,701/3,0
r,1.0,234.0,0
76,2/3,235.0,0
r,1/3,707/3,0
76,2/3,236.0,0
r,1/3,710/3,0
r,1.0,237.0,0
78,2/3,238.0,0
r,1/3,716/3,0
78,2/3,239.0,0
r,1/3,719/3,0
r,1.0,240.0,0
78,2/3,241.0,0
r,1/3,725/3,0
78,2/3,242.0,0
r,1/3,728/3,0
r,1.0,243.0,0
