62,2/3,65/3,0
75,2/3,65/3,0
43,2/3,22.25,0
69,2/3,22.25,0
r,5/12,67/3,0
45,2/3,22.75,0
67,2/3,22.75,0
r,5/12,275/12,0
38,2/3,70/3,0
50,2/3,70/3,0
62,2/3,70/3,0
74,2/3,70/3,0
r,7/12,281/12,0
43,2/3,24.0,0
70,2/3,24.0,0
r,1.25,24.0,0
46,2/3,74/3,0
67,2/3,74/3,0
38,2/3,25.25,0
50,2/3,25.25,0
62,2/3,25.25,0
74,2/3,25.25,0
r,5/12,76/3,0
42,2/3,25.75,0
69,2/3,25.75,0
r,5/12,311/12,0
45,2/3,79/3,0
66,2/3,79/3,0
r,7/12,317/12,0
31,2/3,27.0,0
43,2/3,27.0,0
67,2/3,27.0,0
r,1.25,27.0,0
39,2/3,83/3,0
38,2/3,28.25,0
r,5/12,85/3,0
36,2/3,28.75,0
48,2/3,28.75,0
r,5/12,347/12,0
39,2/3,88/3,0
51,2/3,88/3,0
r,7/12,353/12,0
43,2/3,30.0,0
55,2/3,30.0,0
r,1.25,30.0,0
60,2/3,92/3,0
48,2/3,92/3,0
51,2/3,31.25,0
63,2/3,31.25,0
r,5/12,94/3,0
55,2/3,31.75,0
67,2/3,31.75,0
r,5/12,383/12,0
60,2/3,97/3,0
79,2/3,97/3,0
r,7/12,389/12,0
63,2/3,33.0,0
75,2/3,33.0,0
r,1.25,33.0,0
67,2/3,101/3,0
72,2/3,101/3,0
59,2/3,34.25,0
79,2/3,34.25,0
r,5/12,103/3,0
62,2/3,34.75,0
74,2/3,34.75,0
r,5/12,419/12,0
67,2/3,106/3,0
71,2/3,106/3,0
r,7/12,425/12,0
47,2/3,36.0,0
67,2/3,36.0,0
r,1.25,36.0,0
50,2/3,110/3,0
62,2/3,110/3,0
55,2/3,37.25,0
59,2/3,37.25,0
r,5/12,112/3,0
46,2/3,37.75,0
67,2/3,37.75,0
r,5/12,455/12,0
50,2/3,115/3,0
62,2/3,115/3,0
r,7/12,461/12,0
55,2/3,39.0,0
58,2/3,39.0,0
r,1.25,39.0,0
58,2/3,119/3,0
79,2/3,119/3,0
62,2/3,40.25,0
74,2/3,40.25,0
r,5/12,121/3,0
67,2/3,40.75,0
70,2/3,40.75,0
r,5/12,491/12,0
57,2/3,124/3,0
77,2/3,124/3,0
r,7/12,497/12,0
60,2/3,42.0,0
72,2/3,42.0,0
r,1.25,42.0,0
65,2/3,128/3,0
69,2/3,128/3,0
45,2/3,43.25,0
65,2/3,43.25,0
r,5/12,130/3,0
48,2/3,43.75,0
60,2/3,43.75,0
r,5/12,527/12,0
53,2/3,133/3,0
57,2/3,133/3,0
r,7/12,533/12,0
44,2/3,45.0,0
65,2/3,45.0,0
r,1.25,45.0,0
48,2/3,137/3,0
60,2/3,137/3,0
53,2/3,46.25,0
56,2/3,46.25,0
r,5/12,139/3,0
56,2/3,46.75,0
77,2/3,46.75,0
r,5/12,563/12,0
60,2/3,142/3,0
72,2/3,142/3,0
r,7/12,569/12,0
65,2/3,48.0,0
68,2/3,48.0,0
r,1.25,48.0,0
55,2/3,146/3,0
75,2/3,146/3,0
60,2/3,49.25,0
72,2/3,49.25,0
r,5/12,148/3,0
63,2/3,49.75,0
67,2/3,49.75,0
r,5/12,599/12,0
36,2/3,151/3,0
48,2/3,151/3,0
62,2/3,151/3,0
75,2/3,151/3,0
r,7/12,605/12,0
43,2/3,51.0,0
69,2/3,51.0,0
r,1.25,51.0,0
45,2/3,155/3,0
67,2/3,155/3,0
38,2/3,52.25,0
50,2/3,52.25,0
62,2/3,52.25,0
74,2/3,52.25,0
r,5/12,157/3,0
43,2/3,52.75,0
70,2/3,52.75,0
r,5/12,635/12,0
46,2/3,160/3,0
67,2/3,160/3,0
r,7/12,641/12,0
38,2/3,54.0,0
50,2/3,54.0,0
62,2/3,54.0,0
74,2/3,54.0,0
r,1.25,54.0,0
42,2/3,164/3,0
69,2/3,164/3,0
45,2/3,55.25,0
66,2/3,55.25,0
r,5/12,166/3,0
31,2/3,55.75,0
43,2/3,55.75,0
67,2/3,55.75,0
r,5/12,671/12,0
41,2/3,169/3,0
r,7/12,677/12,0
40,2/3,57.0,0
r,1.25,57.0,0
37,2/3,173/3,0
58,2/3,173/3,0
41,2/3,58.25,0
53,2/3,58.25,0
r,5/12,175/3,0
46,2/3,58.75,0
49,2/3,58.75,0
r,5/12,707/12,0
36,2/3,178/3,0
58,2/3,178/3,0
r,7/12,713/12,0
52,2/3,60.0,0
40,2/3,60.0,0
r,1.25,60.0,0
46,2/3,182/3,0
48,2/3,182/3,0
40,2/3,61.25,0
70,2/3,61.25,0
r,5/12,184/3,0
43,2/3,61.75,0
67,2/3,61.75,0
r,5/12,743/12,0
48,2/3,187/3,0
60,2/3,187/3,0
r,7/12,749/12,0
41,2/3,63.0,0
68,2/3,63.0,0
r,1.25,63.0,0
44,2/3,191/3,0
65,2/3,191/3,0
48,2/3,64.25,0
60,2/3,64.25,0
