r,3.0,0.0
55,1.0,1145.0
61,1.0,1145.0
51,1.0,1146.0
55,1.0,1146.0
61,1.0,1146.0
r,1.0,1147.0
56,1.0,1148.0
61,1.0,1148.0
56,1.0,1149.0
61,1.0,1149.0
56,1.0,1150.0
61,1.0,1150.0
r,1.0,1151.0
56,1.0,1152.0
60,1.0,1152.0
60,1.0,1153.0
63,1.0,1153.0
56,1.0,1154.0
60,1.0,1154.0
r,1.0,1155.0
55,1.0,1156.0
58,1.0,1156.0
63,1.0,1156.0
55,1.0,1157.0
58,1.0,1157.0
63,1.0,1157.0
55,1.0,1158.0
58,1.0,1158.0
63,1.0,1158.0
r,1.0,1159.0
58,1.0,1160.0
61,1.0,1160.0
63,1.0,1160.0
58,1.0,1161.0
61,1.0,1161.0
63,1.0,1161.0
58,1.0,1162.0
61,1.0,1162.0
63,1.0,1162.0
r,1.0,1163.0
56,1.0,1164.0
60,1.0,1164.0
63,1.0,1164.0
56,1.0,1165.0
60,1.0,1165.0
63,1.0,1165.0
56,1.0,1166.0
60,1.0,1166.0
63,1.0,1166.0
r,1.0,1167.0
60,1.0,1168.0
63,1.0,1168.0
68,1.0,1168.0
60,1.0,1169.0
63,1.0,1169.0
68,1.0,1169.0
60,1.0,1170.0
63,1.0,1170.0
68,1.0,1170.0
r,1.0,1171.0
58,1.0,1172.0
63,1.0,1172.0
67,1.0,1172.0
58,1.0,1173.0
63,1.0,1173.0
67,1.0,1173.0
58,1.0,1174.0
63,1.0,1174.0
67,1.0,1174.0
r,1.0,1175.0
61,1.0,1176.0
63,1.0,1176.0
70,1.0,1176.0
61,1.0,1177.0
63,1.0,1177.0
70,1.0,1177.0
61,1.0,1178.0
63,1.0,1178.0
70,1.0,1178.0
r,1.0,1179.0
51,1.0,1180.0
55,1.0,1180.0
53,1.0,1181.0
56,1.0,1181.0
55,1.0,1182.0
58,1.0,1182.0
56,1.0,1183.0
60,1.0,1183.0
58,1.0,1184.0
61,1.0,1184.0
60,1.0,1185.0
63,1.0,1185.0
58,1.0,1186.0
61,1.0,1186.0
r,1.0,1187.0
56,1.0,1188.0
60,1.0,1188.0
56,1.0,1189.0
60,1.0,1189.0
56,1.0,1190.0
60,1.0,1190.0
r,1.0,1191.0
54,1.0,1192.0
56,1.0,1192.0
63,1.0,1192.0
54,1.0,1193.0
56,1.0,1193.0
63,1.0,1193.0
54,1.0,1194.0
56,1.0,1194.0
63,1.0,1194.0
r,1.0,1195.0
53,1.0,1196.0
56,1.0,1196.0
61,1.0,1196.0
53,1.0,1197.0
56,1.0,1197.0
61,1.0,1197.0
53,1.0,1198.0
56,1.0,1198.0
61,1.0,1198.0
r,1.0,1199.0
51,1.0,1200.0
54,1.0,1200.0
57,1.0,1200.0
51,1.0,1201.0
54,1.0,1201.0
57,1.0,1201.0
51,1.0,1202.0
54,1.0,1202.0
57,1.0,1202.0
r,1.0,1203.0
49,1.0,1204.0
53,1.0,1204.0
58,1.0,1204.0
49,1.0,1205.0
53,1.0,1205.0
58,1.0,1205.0
49,1.0,1206.0
53,1.0,1206.0
58,1.0,1206.0
r,1.0,1207.0
51,1.0,1208.0
55,1.0,1208.0
61,1.0,1208.0
51,1.0,1209.0
55,1.0,1209.0
61,1.0,1209.0
51,1.0,1210.0
55,1.0,1210.0
61,1.0,1210.0
44,1/3,1211.0
48,1/3,3634/3
51,1/3,3635/3
44,1/3,1212.0
48,1/3,3637/3
51,1/3,3638/3
44,1/3,1213.0
48,1/3,3640/3
51,1/3,3641/3
44,1/3,1214.0
48,1/3,3643/3
51,1/3,3644/3
44,1/3,1215.0
48,1/3,3646/3
51,1/3,3647/3
44,1/3,1216.0
48,1/3,3649/3
51,1/3,3650/3
44,1/3,1217.0
48,1/3,3652/3
51,1/3,3653/3
44,1/3,1218.0
48,1/3,3655/3
51,1/3,3656/3
44,1.0,1219.0
56,1.0,1220.0
60,1.0,1220.0
63,1.0,1220.0
56,1.0,1221.0
60,1.0,1221.0
63,1.0,1221.0
56,1.0,1222.0
60,1.0,1222.0
63,1.0,1222.0
56,1.0,1223.0
60,1.0,1223.0
63,1.0,1223.0
56,1.0,1224.0
60,1.0,1224.0
63,1.0,1224.0
56,1.0,1225.0
60,1.0,1225.0
63,1.0,1225.0
56,1.0,1226.0
60,1.0,1226.0
63,1.0,1226.0
43,1/3,1227.0
48,1/3,3682/3
52,1/3,3683/3
43,1/3,1228.0
48,1/3,3685/3
52,1/3,3686/3
43,1/3,1229.0
48,1/3,3688/3
52,1/3,3689/3
43,1/3,1230.0
48,1/3,3691/3
52,1/3,3692/3
43,1/3,1231.0
48,1/3,3694/3
52,1/3,3695/3
43,1/3,1232.0
48,1/3,3697/3
52,1/3,3698/3
43,1/3,1233.0
48,1/3,3700/3
52,1/3,3701/3
43,1/3,1234.0
48,1/3,3703/3
52,1/3,3704/3
43,1.0,1235.0
55,1.0,1236.0
58,1.0,1236.0
64,1.0,1236.0
55,1.0,1237.0
58,1.0,1237.0
64,1.0,1237.0
55,1.0,1238.0
58,1.0,1238.0
64,1.0,1238.0
55,1.0,1239.0
58,1.0,1239.0
64,1.0,1239.0
55,1.0,1240.0
58,1.0,1240.0
64,1.0,1240.0
55,1.0,1241.0
58,1.0,1241.0
64,1.0,1241.0
55,1.0,1242.0
58,1.0,1242.0
64,1.0,1242.0
41,1/3,1243.0
48,1/3,3730/3
53,1/3,3731/3
41,1/3,1244.0
48,1/3,3733/3
53,1/3,3734/3
41,1/3,1245.0
48,1/3,3736/3
53,1/3,3737/3
41,1/3,1246.0
48,1/3,3739/3
53,1/3,3740/3
41,1/3,1247.0
48,1/3,3742/3
53,1/3,3743/3
41,1/3,1248.0
48,1/3,3745/3
53,1/3,3746/3
41,1/3,1249.0
48,1/3,3748/3
53,1/3,3749/3
41,1/3,1250.0
48,1/3,3751/3
53,1/3,3752/3
41,1.0,1251.0
53,1.0,1252.0
56,1.0,1252.0
r,3.0,1252.0
53,1.0,1253.0
56,1.0,1253.0
53,1.0,1254.0
56,1.0,1254.0
49,4.0,1255.0
53,1.0,1255.0
56,1.0,1255.0
53,1.0,1256.0
56,1.0,1256.0
r,3.0,1256.0
53,1.0,1257.0
56,1.0,1257.0
53,1.0,1258.0
56,1.0,1258.0
48,4.0,1259.0
54,1.0,1259.0
56,1.0,1259.0
54,1.0,1260.0
56,1.0,1260.0
r,3.0,1260.0
54,1.0,1261.0
56,1.0,1261.0
54,1.0,1262.0
56,1.0,1262.0
51,4.0,1263.0
54,1.0,1263.0
56,1.0,1263.0
54,1.0,1264.0
56,1.0,1264.0
r,3.0,1264.0
54,1.0,1265.0
56,1.0,1265.0
54,1.0,1266.0
56,1.0,1266.0
49,4.0,1267.0
53,1.0,1267.0
56,1.0,1267.0
53,1.0,1268.0
56,1.0,1268.0
r,3.0,1268.0
53,1.0,1269.0
56,1.0,1269.0
53,1.0,1270.0
56,1.0,1270.0
48,4.0,1271.0
51,1.0,1271.0
53,1.0,1271.0
51,1.0,1272.0
53,1.0,1272.0
51,1.0,1273.0
53,1.0,1273.0
51,1.0,1274.0
53,1.0,1274.0
46,4.0,1275.0
49,1.0,1276.0
53,1.0,1276.0
49,1.0,1277.0
53,1.0,1277.0
49,1.0,1278.0
53,1.0,1278.0
46,2.0,1279.0
49,1.0,1280.0
55,1.0,1280.0
r,2.0,1280.0
47,2.0,1281.0
50,1.0,1282.0
55,1.0,1282.0
48,1/3,1283.0
r,1.0,1283.0
52,1/3,3850/3
55,1/3,3851/3
r,1.0,1284.0
60,0.5,1285.0
r,0.5,1285.5
60,0.5,1286.0
r,0.5,1286.5
60,0.5,1287.0
r,0.5,1287.5
r,1.0,1288.0
48,0.5,1289.0
r,0.5,1289.5
47,0.5,1290.0
r,0.5,1290.5
48,1/3,1291.0
52,1/3,3874/3
55,1/3,3875/3
r,1.0,1292.0
60,0.5,1293.0
r,0.5,1293.5
60,0.5,1294.0
r,0.5,1294.5
60,0.5,1295.0
r,0.5,1295.5
r,1.0,1296.0
48,0.5,1297.0
r,0.5,1297.5
47,0.5,1298.0
r,0.5,1298.5
48,5.0,1299.0
58,1.0,1301.0
57,1.0,1302.0
58,1.0,1303.0
48,4.0,1304.0
r,1.0,1304.0
58,1.0,1305.0
57,1.0,1306.0
58,1.0,1307.0
48,3.0,1308.0
r,1.0,1308.0
58,1.0,1309.0
57,1.0,1310.0
48,1.0,1311.0
58,1.0,1311.0
48,7.0,1312.0
55,1.0,1315.0
48,7.0,1316.0
52,1.0,1319.0
48,7.0,1320.0
58,4.0,1323.0
58,3.0,1324.0
53,1/3,1327.0
56,1/3,3982/3
60,1/3,3983/3
53,1/3,1328.0
56,1/3,3985/3
60,1/3,3986/3
53,1/3,1329.0
56,1/3,3988/3
60,1/3,3989/3
53,1/3,1330.0
58,1/3,3991/3
61,1/3,3992/3
53,1/3,1331.0
60,1/3,3994/3
56,1/3,3995/3
53,1/3,1332.0
48,1/3,3997/3
44,1/3,3998/3
41,1/3,1333.0
44,1/3,4000/3
48,1/3,4001/3
40,1/3,1334.0
43,1/3,4003/3
48,1/3,4004/3
41,1/3,1335.0
44,1/3,4006/3
48,1/3,4007/3
53,1/3,1336.0
56,1/3,4009/3
60,1/3,4010/3
53,1/3,1337.0
56,1/3,4012/3
60,1/3,4013/3
53,1/3,1338.0
58,1/3,4015/3
61,1/3,4016/3
53,1/3,1339.0
60,1/3,4018/3
56,1/3,4019/3
53,1/3,1340.0
48,1/3,4021/3
44,1/3,4022/3
41,1/3,1341.0
44,1/3,4024/3
48,1/3,4025/3
40,1/3,1342.0
43,1/3,4027/3
48,1/3,4028/3
41,1/3,1343.0
44,1/3,4030/3
48,1/3,4031/3
53,1/3,1344.0
r,1.0,1344.0
56,1/3,4033/3
60,1/3,4034/3
55,2.0,1345.0
61,1.0,1345.0
58,1.0,1346.0
56,1.0,1347.0
60,1.0,1347.0
r,1.0,1347.0
r,1.0,1348.0
r,1.0,1348.0
56,1.0,1348.0
60,1.0,1348.0
55,2.0,1349.0
61,1.0,1349.0
58,1.0,1350.0
56,1.0,1351.0
60,1.0,1351.0
r,1.0,1351.0
r,1.0,1352.0
r,1.0,1352.0
56,1.0,1352.0
60,1.0,1352.0
55,2.0,1353.0
61,1.0,1353.0
58,1.0,1354.0
56,1.0,1355.0
60,1.0,1355.0
r,1.0,1355.0
52,1.0,1356.0
55,1.0,1356.0
53,1.0,1357.0
56,1.0,1357.0
49,1.0,1358.0
53,1.0,1358.0
48,0.5,1359.0
52,0.5,1359.0
r,0.5,1359.5
60,0.5,1360.0
r,1.0,1360.0
r,0.5,1360.5
64,2.0,1361.0
70,1.0,1361.0
67,1.0,1362.0
65,1.0,1363.0
68,1.0,1363.0
r,1.0,1363.0
65,1.0,1364.0
68,1.0,1364.0
60,0.5,1365.0
r,0.5,1365.5
60,0.5,1366.0
r,0.5,1366.5
60,1.0,1367.0
65,0.5,1368.0
r,1.0,1368.0
r,0.5,1368.5
64,2.0,1369.0
70,1.0,1369.0
67,1.0,1370.0
65,1.0,1371.0
68,1.0,1371.0
r,1.0,1371.0
65,1.0,1372.0
68,1.0,1372.0
60,0.5,1373.0
r,0.5,1373.5
60,0.5,1374.0
r,0.5,1374.5
60,1/3,1375.0
61,1/3,1375.0
60,0.25,4126/3
59,0.25,4126/3
r,1/6,16507/12
60,0.25,1375.75
65,0.5,1376.0
r,0.5,1376.5
52,1.0,1377.0
55,1.0,1377.0
52,1.0,1378.0
55,1.0,1378.0
53,1.0,1379.0
56,1.0,1379.0
r,1.0,1380.0
49,1.0,1381.0
53,1.0,1381.0
r,1.0,1382.0
48,1/3,1383.0
52,1/3,4150/3
55,1/3,4151/3
48,1/3,1384.0
52,1/3,4153/3
55,1/3,4154/3
48,1/3,1385.0
52,1/3,4156/3
55,1/3,4157/3
48,1/3,1386.0
52,1/3,4159/3
55,1/3,4160/3
48,1/3,1387.0
55,1/3,4162/3
52,1/3,4163/3
48,1/3,1388.0
43,1/3,4165/3
40,1/3,4166/3
36,1/3,1389.0
40,1/3,4168/3
43,1/3,4169/3
36,1/3,1390.0
40,1/3,4171/3
43,1/3,4172/3
36,1/3,1391.0
40,1/3,4174/3
43,1/3,4175/3
48,1/3,1392.0
52,1/3,4177/3
55,1/3,4178/3
48,1/3,1393.0
52,1/3,4180/3
55,1/3,4181/3
48,1/3,1394.0
52,1/3,4183/3
55,1/3,4184/3
48,1/3,1395.0
55,1/3,4186/3
52,1/3,4187/3
48,1/3,1396.0
43,1/3,4189/3
40,1/3,4190/3
36,1/3,1397.0
40,1/3,4192/3
43,1/3,4193/3
36,1/3,1398.0
40,1/3,4195/3
43,1/3,4196/3
36,1/3,1399.0
40,1/3,4198/3
43,1/3,4199/3
48,1/3,1400.0
43,1/3,4201/3
40,1/3,4202/3
36,1/3,1401.0
40,1/3,4204/3
43,1/3,4205/3
36,1/3,1402.0
40,1/3,4207/3
43,1/3,4208/3
36,1/3,1403.0
40,1/3,4210/3
43,1/3,4211/3
48,1/3,1404.0
43,1/3,4213/3
40,1/3,4214/3
36,1/3,1405.0
40,1/3,4216/3
43,1/3,4217/3
36,1/3,1406.0
40,1/3,4219/3
43,1/3,4220/3
36,1/3,1407.0
40,1/3,4222/3
43,1/3,4223/3
48,1/3,1408.0
43,1/3,4225/3
40,1/3,4226/3
36,1/3,1409.0
40,1/3,4228/3
43,1/3,4229/3
48,1/3,1410.0
43,1/3,4231/3
40,1/3,4232/3
36,1.0,1411.0
r,4.0,1412.0
r,4/3,1416.0
49,1/3,4252/3
48,1/3,4253/3
46,1/3,1418.0
44,1/3,4255/3
43,1/3,4256/3
41,1.0,1419.0
49,1.0,1420.0
48,1.0,1421.0
47,1.0,1422.0
48,1.0,1423.0
49,1.0,1424.0
48,1.0,1425.0
47,1.0,1426.0
48,1.0,1427.0
49,1.0,1428.0
61,1.0,1428.0
48,1.0,1429.0
60,1.0,1429.0
47,1.0,1430.0
59,1.0,1430.0
48,1.0,1431.0
60,1.0,1431.0
49,1.0,1432.0
61,1.0,1432.0
48,1.0,1433.0
60,1.0,1433.0
47,1.0,1434.0
59,1.0,1434.0
48,1.0,1435.0
60,1.0,1435.0
61,1.0,1436.0
62,1.0,1437.0
63,1.0,1438.0
57,1.0,1439.0
58,1.0,1440.0
55,1.0,1441.0
56,1.0,1442.0
52,1.0,1443.0
53,1.0,1444.0
46,1.0,1445.0
47,1.0,1446.0
36,0.5,1447.0
48,0.5,1447.5
36,0.5,1448.0
48,0.5,1448.5
36,0.5,1449.0
48,0.5,1449.5
36,0.5,1450.0
48,0.5,1450.5
36,1.0,1451.0
53,0.5,1452.0
65,0.5,1452.5
50,0.5,1453.0
62,0.5,1453.5
51,0.5,1454.0
63,0.5,1454.5
45,0.5,1455.0
57,0.5,1455.5
46,0.5,1456.0
58,0.5,1456.5
43,0.5,1457.0
55,0.5,1457.5
44,0.5,1458.0
56,0.5,1458.5
40,0.5,1459.0
52,0.5,1459.5
41,0.5,1460.0
53,0.5,1460.5
34,0.5,1461.0
46,0.5,1461.5
35,0.5,1462.0
47,0.5,1462.5
36,0.5,1463.0
48,0.5,1463.5
36,0.5,1464.0
48,0.5,1464.5
36,0.5,1465.0
48,0.5,1465.5
36,0.5,1466.0
48,0.5,1466.5
41,1/3,1467.0
44,1/3,4402/3
48,1/3,4403/3
41,1/3,1468.0
44,1/3,4405/3
48,1/3,4406/3
41,1/3,1469.0
44,1/3,4408/3
49,1/3,4409/3
41,1/3,1470.0
44,1/3,4411/3
49,1/3,4412/3
43,1/3,1471.0
46,1/3,4414/3
49,1/3,4415/3
43,1/3,1472.0
46,1/3,4417/3
49,1/3,4418/3
43,1/3,1473.0
46,1/3,4420/3
51,1/3,4421/3
43,1/3,1474.0
46,1/3,4423/3
51,1/3,4424/3
44,1/3,1475.0
48,1/3,4426/3
51,1/3,4427/3
44,1/3,1476.0
48,1/3,4429/3
51,1/3,4430/3
45,1/3,1477.0
48,1/3,4432/3
53,1/3,4433/3
45,1/3,1478.0
48,1/3,4435/3
53,1/3,4436/3
46,1/3,1479.0
49,1/3,4438/3
53,1/3,4439/3
46,1/3,1480.0
49,1/3,4441/3
53,1/3,4442/3
46,1/3,1481.0
49,1/3,4444/3
55,1/3,4445/3
46,1/3,1482.0
49,1/3,4447/3
55,1/3,4448/3
48,1/3,1483.0
51,1/3,4450/3
56,1/3,4451/3
48,1/3,1484.0
51,1/3,4453/3
56,1/3,4454/3
48,1/3,1485.0
51,1/3,4456/3
57,1/3,4457/3
48,1/3,1486.0
51,1/3,4459/3
57,1/3,4460/3
49,1/3,1487.0
53,1/3,4462/3
58,1/3,4463/3
49,1/3,1488.0
53,1/3,4465/3
58,1/3,4466/3
50,1/3,1489.0
53,1/3,4468/3
59,1/3,4469/3
50,1/3,1490.0
53,1/3,4471/3
59,1/3,4472/3
48,1/3,1491.0
53,1/3,4474/3
56,1/3,4475/3
48,1/3,1492.0
53,1/3,4477/3
56,1/3,4478/3
48,1/3,1493.0
53,1/3,4480/3
56,1/3,4481/3
48,1/3,1494.0
53,1/3,4483/3
56,1/3,4484/3
48,1/3,1495.0
52,1/3,4486/3
55,1/3,4487/3
48,1/3,1496.0
52,1/3,4489/3
55,1/3,4490/3
48,1/3,1497.0
52,1/3,4492/3
55,1/3,4493/3
48,1/3,1498.0
52,1/3,4495/3
55,1/3,4496/3
41,1/3,1499.0
44,1/3,4498/3
48,1/3,4499/3
41,1/3,1500.0
44,1/3,4501/3
48,1/3,4502/3
41,1/3,1501.0
44,1/3,4504/3
49,1/3,4505/3
41,1/3,1502.0
44,1/3,4507/3
49,1/3,4508/3
43,1/3,1503.0
46,1/3,4510/3
49,1/3,4511/3
43,1/3,1504.0
46,1/3,4513/3
49,1/3,4514/3
43,1/3,1505.0
46,1/3,4516/3
51,1/3,4517/3
43,1/3,1506.0
46,1/3,4519/3
51,1/3,4520/3
44,1/3,1507.0
48,1/3,4522/3
51,1/3,4523/3
44,1/3,1508.0
48,1/3,4525/3
51,1/3,4526/3
45,1/3,1509.0
48,1/3,4528/3
53,1/3,4529/3
45,1/3,1510.0
48,1/3,4531/3
53,1/3,4532/3
46,1/3,1511.0
49,1/3,4534/3
53,1/3,4535/3
46,1/3,1512.0
49,1/3,4537/3
53,1/3,4538/3
46,1/3,1513.0
49,1/3,4540/3
55,1/3,4541/3
46,1/3,1514.0
49,1/3,4543/3
55,1/3,4544/3
48,1/3,1515.0
51,1/3,4546/3
56,1/3,4547/3
48,1/3,1516.0
51,1/3,4549/3
56,1/3,4550/3
48,1/3,1517.0
51,1/3,4552/3
57,1/3,4553/3
48,1/3,1518.0
51,1/3,4555/3
57,1/3,4556/3
49,1/3,1519.0
53,1/3,4558/3
58,1/3,4559/3
49,1/3,1520.0
53,1/3,4561/3
58,1/3,4562/3
50,1/3,1521.0
53,1/3,4564/3
59,1/3,4565/3
50,1/3,1522.0
53,1/3,4567/3
59,1/3,4568/3
48,1/3,1523.0
53,1/3,4570/3
56,1/3,4571/3
48,1/3,1524.0
53,1/3,4573/3
56,1/3,4574/3
48,1/3,1525.0
53,1/3,4576/3
56,1/3,4577/3
48,1/3,1526.0
53,1/3,4579/3
56,1/3,4580/3
48,1/3,1527.0
52,1/3,4582/3
55,1/3,4583/3
48,1/3,1528.0
52,1/3,4585/3
55,1/3,4586/3
48,1/3,1529.0
52,1/3,4588/3
55,1/3,4589/3
48,1/3,1530.0
52,1/3,4591/3
55,1/3,4592/3
41,1.0,1531.0
53,1.0,1531.0
r,1.0,1532.0
65,1.0,1533.0
68,1.0,1533.0
72,1.0,1533.0
65,1.0,1534.0
70,1.0,1534.0
73,1.0,1534.0
65,1.0,1535.0
68,1.0,1535.0
72,1.0,1535.0
r,1.0,1536.0
53,1.0,1537.0
56,1.0,1537.0
60,1.0,1537.0
48,1.0,1538.0
55,1.0,1538.0
60,1.0,1538.0
53,1.0,1539.0
56,1.0,1539.0
60,1.0,1539.0
r,1.0,1540.0
65,1.0,1541.0
68,1.0,1541.0
72,1.0,1541.0
65,1.0,1542.0
70,1.0,1542.0
73,1.0,1542.0
65,1.0,1543.0
68,1.0,1543.0
72,1.0,1543.0
r,1.0,1544.0
53,1.0,1545.0
56,1.0,1545.0
60,1.0,1545.0
48,1.0,1546.0
55,1.0,1546.0
60,1.0,1546.0
53,1.0,1547.0
56,1.0,1547.0
60,1.0,1547.0
r,1.0,1548.0
53,1.0,1549.0
56,1.0,1549.0
60,1.0,1549.0
53,1.0,1550.0
58,1.0,1550.0
61,1.0,1550.0
53,1.0,1551.0
56,1.0,1551.0
60,1.0,1551.0
r,1.0,1552.0
53,1.0,1553.0
56,1.0,1553.0
60,1.0,1553.0
53,1.0,1554.0
58,1.0,1554.0
61,1.0,1554.0
53,1.0,1555.0
56,1.0,1555.0
60,1.0,1555.0
r,2.0,1556.0
53,1/3,1558.0
48,1/3,4675/3
44,1/3,4676/3
41,1.0,1559.0
