0.0,Formula de Compasso,2/2
59.0,Chord,Parte_1,1.0,"[71, 74, 79, 83]",
59.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 43, None], ['Note', 0.5, 47, None], ['Note', 0.5, 50, None]]"
60.0,Chord,Parte_1,1.0,"[71, 74, 79, 83]",
60.0,Rest,Parte_2,4.0,0,
60.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 43, None], ['Note', 0.5, 47, None], ['Note', 0.5, 50, None]]"
60.0,Rest,Parte_4,4.0,0,
60.0,Rest,Parte_5,4.0,0,
61.0,Rest,Parte_1,1.0,0,
61.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 55, None], ['Note', 0.5, 59, None], ['Note', 0.5, 62, None]]"
62.0,Chord,Parte_1,1.0,"[67, 71, 74, 79]",
62.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 55, None], ['Note', 0.5, 59, None], ['Note', 0.5, 62, None]]"
63.0,Chord,Parte_1,1.0,"[66, 69, 72, 75, 78]",
63.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 55, None], ['Note', 0.5, 60, None], ['Note', 0.5, 63, None]]"
64.0,Chord,Parte_1,1.0,"[67, 71, 74, 79]",
64.0,Rest,Parte_2,4.0,0,
64.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 55, None], ['Note', 0.5, 62, None], ['Note', 0.5, 59, None]]"
64.0,Rest,Parte_4,4.0,0,
64.0,Rest,Parte_5,4.0,0,
65.0,Rest,Parte_1,1.0,0,
65.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 55, None], ['Note', 0.5, 50, None], ['Note', 0.5, 47, None]]"
66.0,Chord,Parte_1,1.0,"[74, 79, 83, 86]",
66.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 43, None], ['Note', 0.5, 47, None], ['Note', 0.5, 50, None]]"
67.0,Chord,Parte_1,1.0,"[74, 79, 83, 86]",
67.0,Tuplet 3:2,Parte_3,"[['Note', 0.5, 43, None], ['Note', 0.5, 47, None], ['Note', 0.5, 50, None]]"
68.0,Chord,Parte_1,1.0,"[74, 79, 83, 86]",
68.0,Rest,Parte_2,4.0,0,
