0,Tempo,44.0
0,Formula de Compasso,4/4
42,Chord,Parte_1,1/2,"[64, 70, 73]",
337/8,Chord,Parte_4,1/8,"[41, 53]",
169/4,Chord,Parte_4,7/8,"[41, 53]",
85/2,Chord,Parte_1,1/2,"[60, 65, 72]",
43,Chord,Parte_1,1/2,"[60, 65, 72]",
345/8,Chord,Parte_4,1/8,"[43, 55]",
173/4,Chord,Parte_4,1/2,"[43, 55]",
87/2,Chord,Parte_1,1/2,"[60, 66, 72]",
175/4,Chord,Parte_4,1/2,"[44, 56]",
44,Chord,Parte_1,1/2,"[62, 67, 71]",
44,Rest,Parte_2,3,0,
44,Rest,Parte_3,4,0,
44,Rest,Parte_5,4,0,
44,Rest,Parte_6,4,0,
44,Rest,Parte_7,4,0,
177/4,Chord,Parte_4,1/2,"[44, 56]",
89/2,Rest,Parte_1,1/2,0,
179/4,Chord,Parte_4,1/2,"[32, 44]",
45,Rest,Parte_1,1,0,
181/4,Chord,Parte_4,1/2,"[31, 43]",
183/4,Note,Parte_4,1/2,55,
46,Rest,Parte_1,1,0,
185/4,Note,Parte_4,1/2,55,
187/4,Chord,Parte_4,1/2,"[55, 56]",
47,Note,Parte_1,1,67,
47,Rest,Parte_2,1/2,0,
189/4,Chord,Parte_4,1/2,"[53, 56]",
95/2,Note,Parte_2,1/2,60,
191/4,Chord,Parte_4,1/2,"[53, 55]",
48,Note,Parte_1,1,69,
48,Chord,Parte_2,1,"[60, 66]",
48,Rest,Parte_3,4,0,
48,Note,Parte_5,1,51,
48,Rest,Parte_6,4,0,
48,Rest,Parte_7,4,0,
193/4,Chord,Parte_4,1/2,"[53, 55]",
195/4,Chord,Parte_4,1/2,"[51, 55]",
49,Note,Parte_1,1,71,
49,Chord,Parte_2,1,"[62, 65]",
49,Note,Parte_5,1,50,
197/4,Note,Parte_4,1/2,55,
199/4,Note,Parte_4,1/2,55,
50,Note,Parte_1,1,72,
50,Chord,Parte_2,1,"[63, 67]",
50,Note,Parte_5,1,48,
201/4,Note,Parte_4,1/2,55,
203/4,Note,Parte_4,1/2,55,
